sample_order,basename,text,model,path,sample_rate,duration_seconds,sha256
49,LJ013-0020,he acted in a manner which excited the suspicions of the crew.,BigVGAN-base,bigvgan_base/LJ013-0020.wav,22050,3.657143,d4b4a8758aa5f353c4216efd9f44575ae1e8a307acf9b588d450e65cf003783f
78,LJ026-0029,so in the case under discussion.,Ground Truth,ground_truth/LJ026-0029.wav,22050,1.969206,23a990f4c9cb986d0bbbedcde1fc75a566b2b566c81081ad220497d7a4f304a1
78,LJ026-0029,so in the case under discussion.,NanoVoco,nanovoco/LJ026-0029.wav,22050,1.962086,4f719742b19e01b6ef39c62169a0fccb4036b78b9b9da859e11268904b8a6fec
78,LJ026-0029,so in the case under discussion.,HiFi-GAN V2,hifigan_v2/LJ026-0029.wav,22050,1.962086,734a97ad1376cbc050b5d8ee30cde9d6b25f8096f54b7bbf8649016dbd6eed65
78,LJ026-0029,so in the case under discussion.,HiFi-GAN V1,hifigan_v1/LJ026-0029.wav,22050,1.962086,ae843bc276edf7d9aff6db97428f60690072aa77cb88aca5cb1eb41e73aed8cb
78,LJ026-0029,so in the case under discussion.,Parallel WaveGAN,parallel_wavegan/LJ026-0029.wav,22050,1.973696,756ae94bfa04da169c47ec281c97720f7c2c8144860f1a0de221baadbc1a5355
78,LJ026-0029,so in the case under discussion.,FreGrad,fregrad/LJ026-0029.wav,22050,1.962086,2bf674011ad141df4901a7c62cd2ff121cdc1eca37ac7c8621859273efbdd8ca
78,LJ026-0029,so in the case under discussion.,RNDVoC,rndvoc/LJ026-0029.wav,22050,1.962086,a18b8f253ca597f0adcf23e52c5518c502c5a5cd2d5b2a9131276659a77a513c
78,LJ026-0029,so in the case under discussion.,MelGAN,melgan/LJ026-0029.wav,22050,1.962086,42e71418bad818d90da41e2f36765c93be3b806ce0a4af2db96f122540632f27
78,LJ026-0029,so in the case under discussion.,BigVGAN-base,bigvgan_base/LJ026-0029.wav,22050,1.962086,0df82563775775a2b62d1e2efc08f7f4ca6428427e81e9f171fc0cd5970ac24c
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",Ground Truth,ground_truth/LJ029-0188.wav,22050,8.749433,4eba4479720952589cf9d6173200e8446a8fa264134ab7de3a39bfdb53e6a889
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",NanoVoco,nanovoco/LJ029-0188.wav,22050,8.742313,44feb16d7a4b10776face403f697879ad6b941c92929b794d545621a134f2f6f
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",HiFi-GAN V2,hifigan_v2/LJ029-0188.wav,22050,8.742313,56d85d20960afce795d0f6368aa0fe7444dcc07bc2fc5cc79b6ce48215a7535e
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",HiFi-GAN V1,hifigan_v1/LJ029-0188.wav,22050,8.742313,334ce709857851aa7886d8b98695bab160fce1a079b23fbe8bb7c9ba7a187943
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",Parallel WaveGAN,parallel_wavegan/LJ029-0188.wav,22050,8.753923,8b74ef069c751403dbb49d9c37a4b877819e26cee071103e8196ddec43cae26e
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",FreGrad,fregrad/LJ029-0188.wav,22050,8.742313,b62b39df07145f3c79f88bf8705ef2d26052b2e59fd8f929220f764d4c4df106
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",RNDVoC,rndvoc/LJ029-0188.wav,22050,8.742313,52dfd556cac99a155fcb820b8ff5aa3253b341c916128c354235c9b1728d4f5e
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",MelGAN,melgan/LJ029-0188.wav,22050,8.742313,c861bb077bcefd365c2dd6ef2a5b84f599a7897babc5e9c3f16bb4c2b69e5f5c
88,LJ029-0188,"Stevenson was jeered, jostled, and spat upon by hostile demonstrators outside the Dallas Memorial Auditorium Theater.",BigVGAN-base,bigvgan_base/LJ029-0188.wav,22050,8.742313,a3cdea4d0f0fda6d5af400da6dd25a3c3156bb5d787aec86ade77b3ac26ea2f3
